Figure 3-2
--------------------------------------------------------------------
200 GeV, Au+Au, 30-40% centrality, unlike-sign kaons
-0.44<=dy<-0.36 	 105<=dphi<115 	 R2=-0.00801532
-0.36<=dy<-0.28 	 105<=dphi<115 	 R2=-0.0126987
-0.28<=dy<-0.2 	 105<=dphi<115 	 R2=-0.00963108
-0.2<=dy<-0.12 	 105<=dphi<115 	 R2=-0.0128156
-0.12<=dy<-0.04 	 105<=dphi<115 	 R2=-0.0116198
-0.04<=dy<0.04 	 105<=dphi<115 	 R2=-0.00928323
0.04<=dy<0.12 	 105<=dphi<115 	 R2=-0.0130268
0.12<=dy<0.2 	 105<=dphi<115 	 R2=-0.0102161
0.2<=dy<0.28 	 105<=dphi<115 	 R2=-0.0110594
0.28<=dy<0.36 	 105<=dphi<115 	 R2=-0.0116607
