# M_{ee}   dM_{ee}   dN/dM_{ee}   stat.  syst.  cock.  ratio.  ratio(Rapp).  ratio(PHSD).
# pT:0.0-0.5 GeV/c
3.005 0.03 0.000265461 4.06234e-05 3.69188e-05 0.000183449 1.44706 1.00542 1.05424
3.0275 0.015 0.000370162 5.72093e-05 5.09898e-05 0.000290359 1.27484 1.00306 1.03306
3.045 0.02 0.000636503 5.09223e-05 8.73091e-05 0.000504775 1.26096 1.00174 1.01853
3.0625 0.015 0.000926744 6.1077e-05 0.000127424 0.000862726 1.0742 1.00104 1.01059
3.0725 0.005 0.00121053 0.000109272 0.00016648 0.00109825 1.10224 1.00081 1.00818
3.0825 0.015 0.00132385 6.35627e-05 0.000181691 0.00127723 1.0365 1.00069 1.00693
3.0925 0.005 0.00161334 0.000114071 0.000221281 0.00135526 1.19043 1.00069 1.00639
3.0975 0.005 0.00157008 0.000113313 0.000216385 0.00133625 1.17499 1.00068 1.00652
3.1075 0.015 0.00140301 6.35075e-05 0.000192974 0.00118836 1.18062 1.00055 1.00714
3.1225 0.015 0.000977449 5.88771e-05 0.000134393 0.000840308 1.1632 1.00079 1.00984
3.1775 0.095 0.000147595 1.87973e-05 2.03164e-05 0.000179886 0.820494 1.00339 1.04303
3.3125 0.175 3.74907e-05 1.1621e-05 5.31623e-06 2.9432e-05 1.27381 1.01408 1.2245
3.625 0.45 2.52176e-05 5.37714e-06 3.51116e-06 2.21353e-05 1.13925 1.00759 1.19099
